ESTADO,ZONA,RENDA PER CAPITA (em salários mínimos (R$)),ACESSO À INTERNET EM CASA,ACESSO À INTERNET POR MICROCOMPUTADOR,ACESSO À INTERNET POR CELULAR,ACESSO À INTERNET POR TABLET
Maranhão,"URBANA - Cidade ou vila, área urbanizada","0,5 - 1",Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada","Até 0,25",Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada",2 - 3,Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada",2 - 3,Possui,Sim,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada","0,5 - 1",Possui,Não,Sim,Sim
Maranhão,"URBANA - Cidade ou vila, área urbanizada","0,25 - 0,5",Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada",1 - 2,Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada","0,5 - 1",Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada","0,5 - 1",Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada","0,5 - 1",Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada","Até 0,25",Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada","0,5 - 1",Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada","0,5 - 1",Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada",3 - 5,Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada","0,5 - 1",Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada","0,5 - 1",Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada","Até 0,25",Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada",1 - 2,Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada","0,5 - 1",Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada","0,5 - 1",Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada","0,5 - 1",Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada","Até 0,25",Possui,Sim,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada","0,25 - 0,5",Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada",2 - 3,Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada","0,5 - 1",Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada",1 - 2,Possui,Não,Sim,Não
Maranhão,"RURAL - Aglomerado rural, isolado, povoado","0,5 - 1",Possui,Não,Sim,Não
Maranhão,"RURAL - Aglomerado rural, isolado, povoado","0,25 - 0,5",Possui,Não,Sim,Não
Maranhão,"RURAL - Aglomerado rural, isolado, povoado","0,25 - 0,5",Possui,Não,Sim,Não
Maranhão,"RURAL - Aglomerado rural, isolado, povoado","0,5 - 1",Possui,Não,Sim,Não
Maranhão,"RURAL - Aglomerado rural, isolado, povoado",Sem declaração,Possui,Não,Sim,Não
Maranhão,"RURAL - Aglomerado rural, isolado, povoado",1 - 2,Possui,Sim,Sim,Não
Maranhão,"RURAL - Aglomerado rural, isolado, povoado","0,25 - 0,5",Possui,Não,Sim,Não
Maranhão,"RURAL - Aglomerado rural, isolado, povoado","0,5 - 1",Possui,Não,Sim,Não
Maranhão,"RURAL - Aglomerado rural, isolado, povoado","0,5 - 1",Possui,Não,Sim,Não
Maranhão,"RURAL - Aglomerado rural, isolado, povoado","0,25 - 0,5",Possui,Não,Sim,Não
Maranhão,"RURAL - Aglomerado rural, isolado, povoado",1 - 2,Possui,Não,Sim,Não
Maranhão,"RURAL - Aglomerado rural, isolado, povoado",1 - 2,Possui,Não,Sim,Não
Maranhão,"RURAL - Aglomerado rural, isolado, povoado","0,5 - 1",Possui,Não,Sim,Não
Maranhão,"RURAL - Aglomerado rural, isolado, povoado","0,5 - 1",Possui,Não,Sim,Não
Maranhão,"RURAL - Aglomerado rural, isolado, povoado","Até 0,25",Possui,Não,Sim,Não
Maranhão,"RURAL - Aglomerado rural, isolado, povoado","0,5 - 1",Possui,Não,Sim,Sim
Maranhão,"RURAL - Aglomerado rural, isolado, povoado","0,5 - 1",Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada","0,5 - 1",Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada","0,25 - 0,5",Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada",2 - 3,Possui,Sim,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada","0,5 - 1",Possui,Sim,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada",1 - 2,Possui,Não,Sim,Sim
Maranhão,"URBANA - Cidade ou vila, área urbanizada","0,5 - 1",Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada",1 - 2,Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada",1 - 2,Possui,Sim,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada","Até 0,25",Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada","0,5 - 1",Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada",1 - 2,Possui,Sim,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada","0,25 - 0,5",Possui,Sim,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada","0,5 - 1",Possui,Sim,Sim,Sim
Maranhão,"URBANA - Cidade ou vila, área urbanizada","0,5 - 1",Possui,Sim,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada","0,5 - 1",Possui,Sim,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada",1 - 2,Possui,Sim,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada","Até 0,25",Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada","0,25 - 0,5",Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada",2 - 3,Possui,Sim,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada",1 - 2,Possui,Sim,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada","0,5 - 1",Possui,Sim,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada","0,25 - 0,5",Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada","0,25 - 0,5",Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada",1 - 2,Possui,Sim,Não,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada","0,5 - 1",Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada",1 - 2,Possui,Sim,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada","0,5 - 1",Possui,Sim,Sim,Não
Maranhão,RURAL - Zona rural exclusive aglomerado rural ,"0,25 - 0,5",Possui,Não,Sim,Não
Maranhão,RURAL - Zona rural exclusive aglomerado rural ,2 - 3,Possui,Sim,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada","0,5 - 1",Possui,Sim,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada",3 - 5,Possui,Sim,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada",1 - 2,Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada",1 - 2,Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada",1 - 2,Possui,Não,Sim,Sim
Maranhão,"URBANA - Cidade ou vila, área urbanizada",+5,Possui,Sim,Sim,Sim
Maranhão,"URBANA - Cidade ou vila, área urbanizada","Até 0,25",Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada",2 - 3,Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada",1 - 2,Possui,Sim,Sim,Sim
Maranhão,"URBANA - Cidade ou vila, área urbanizada","0,5 - 1",Possui,Sim,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada",1 - 2,Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada","Até 0,25",Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada","0,25 - 0,5",Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada","0,5 - 1",Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada","0,25 - 0,5",Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada","Até 0,25",Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada","Até 0,25",Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada",Sem declaração,Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada","0,25 - 0,5",Possui,Sim,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada","Até 0,25",Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada","0,25 - 0,5",Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada",1 - 2,Possui,Sim,Sim,Não
Maranhão,RURAL - Zona rural exclusive aglomerado rural ,"Até 0,25",Possui,Não,Sim,Não
Maranhão,"RURAL - Aglomerado rural, isolado, povoado","0,5 - 1",Possui,Sim,Sim,Sim
Maranhão,"RURAL - Aglomerado rural, isolado, povoado","0,25 - 0,5",Possui,Não,Sim,Não
Maranhão,"RURAL - Aglomerado rural, isolado, povoado","0,5 - 1",Possui,Sim,Sim,Sim
Maranhão,"RURAL - Aglomerado rural, isolado, povoado","0,5 - 1",Possui,Não,Sim,Não
Maranhão,"RURAL - Aglomerado rural, isolado, povoado",2 - 3,Possui,Sim,Sim,Não
Maranhão,"RURAL - Aglomerado rural, isolado, povoado","Até 0,25",Possui,Não,Sim,Não
Maranhão,"RURAL - Aglomerado rural, isolado, povoado","0,25 - 0,5",Possui,Sim,Sim,Não
Maranhão,RURAL - Zona rural exclusive aglomerado rural ,"0,5 - 1",Possui,Sim,Sim,Não
Maranhão,"RURAL - Aglomerado rural, isolado, povoado","0,5 - 1",Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada","Até 0,25",Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada","0,25 - 0,5",Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada","Até 0,25",Possui,Não,Sim,Não
Maranhão,RURAL - Zona rural exclusive aglomerado rural ,"0,5 - 1",Possui,Não,Sim,Não
Maranhão,"URBANA - Cidade ou vila, área urbanizada",1 - 2,Possui,Não,Sim,Sim
